Symbol	Description
ADRZF.OB	Andritz Ag
ADRZY.OB	Andritz Ag ADR
ADST.OB	Adstar Inc
ADSV.OB	Allied Security Inno
ADTC.OB	Advanced Dep Tech
ADTFF.OB	Imetal Resources Inc
ADTM.OB	Adaptive Medias Inc
ADTR.OB	Alliance Distributors Holding Inc
ADTY.OB	Adtegrity.com International
ADVC.OB	Advant-E Corp
ADVOF.OB	Adva Optical Ntwkng
ADVT.OB	Advantis Corp
ADVZF.OB	Adventus Mining Corp
ADWPF.OB	Andrew Peller Ltd
ADXDF.OB	Adex Mining Inc
ADXRF.OB	Adx Energy Ltd
ADYEY.OB	Adyen NV ADR
ADYX.OB	Adynxx Inc
ADYYF.OB	Adyen NV
ADZZF.OB	Advance Residence Investment Corp
AEBZY.OB	Anadolu Efes Birck
AEDC.OB	American Energy Dev Corp
AEEI.OB	American Environment
AEEX.OB	Asia Equity Exchange Group Inc
AEGG.OB	American Energy
AEGOF.OB	Aegon NV Ord Shs
AEGXF.OB	Aecon Group Inc
AEGY.OB	Alternative Energy
AELTF.OB	Adacel Techs Ltd
AEMC.OB	Archer Entmt Mda Cmns
AENG.OB	Advanced Engine Technologies Inc
AEOMF.OB	Aeon Metals Ltd
AEOXF.OB	Aeroports DE Paris Sa
AEPT.OB	American Energy Partners Inc
AERG.OB	Applied Energetics Inc
AERN.OB	Aer Energy Resources
AERO.OB	Aerogrow Intl Inc
AERS.OB	Aerius Cmn Stk
AESEW.OB	Allied Esports Entertainment Inc WT
AESO.OB	Atlantic Energy Sltns Inc
AETUF.OB	Arc Energy Trust Uni
AEXAF.OB	Atos Origin Sa Ord
AEXAY.OB	Atos ADR
AEXE.OB	Aim Exploration Inc
AEXFF.OB	Aminex Plc
AFAP.OB	Afa Protective Systems
AFBA.OB	Allied First Bncp MD
AFBG.OB	American Fiber Green Products Inc
AFCJF.OB	Afc Ajax NV
AFDG.OB	African Discovery Group Inc
AFFS.OB	Amtrust Financial Services Inc 7.25% Subordinat
AFFT.OB	Amtrust Financial Services Inc 7.50% Subordinat
AFFU.OB	Affluence Corp
AFFY.OB	Affymax
AFGYF.OB	Afc Energy Plc
AFHBL.OB	Atlas Financial Holdings Inc 6.625% Senior Uns
AFHIF.OB	Atlas Financial Hlds
AFIPA.OB	Amfi Corp
AFLYY.OB	Air France Ads
AFMJF.OB	Alphamin Resources
AFML.OB	Aerofoam Metals Inc
AFNL.OB	Amtrust Financial CO
AFOM.OB	All For One Media Corp
AFOVF.OB	Australian Foundation Investment CO
AFPW.OB	Alumifuel Pwr Corp
AFRAF.OB	Air France Klm
AFRMF.OB	Alphaform Ag
AFSIA.OB	Amtrust Financial Services Inc Pfd. A
AFSIB.OB	Amtrust Financial Services Dep Pfd
AFSIC.OB	Amtrust Financial Services Inc Pfd. C
AFSIM.OB	Amtrust Financial Services Inc Prf
AFSIN.OB	Amtrust Financial Services Inc Pfd F
AFSIP.OB	Amtrust Financial Services Dep Pfd
AFTC.OB	Alternative Fuel Tec
AFTM.OB	Aftermaster Inc
AFTPF.OB	Afterpay Touch Group Ltd
AFTPY.OB	Afterpay Ltd
AFYG.OB	Affinity Gold Corp
AGATF.OB	Deutsche Bank Agriculture Double Short ETN Due 4
AGAUF.OB	Arizona Gold Corp
AGCBF.OB	Amarillo Gold Corpor
AGCCF.OB	Gensource Potash
AGCZ.OB	Andes Gold Corp
AGDXF.OB	Antioqua Gold Inc
AGDY.OB	Agri-Dynamics Inc
AGEEF.OB	Halo Collective Inc
AGESY.OB	Ageas N.V. Ads
AGFAF.OB	Agraflora Organics Intl Inc
AGFMF.OB	AGF Management Ltd
AGFXF.OB	DB Agriculture Long ETN Due April 1 2038
AGGFF.OB	African Gold Gr
AGGG.OB	Antilia Group Corp
AGGHF.OB	Agrios Global Holdings Ltd
AGGI.OB	Allied Energy Inc
AGGL.OB	Agtech Global International Inc
AGGZF.OB	Ag Growth Inc Fd
AGHC.OB	Aeon Global Health Corp
AGIN.OB	American Graphite Technologies Inc
AGLAF.OB	Aguila American Gold
AGLDF.OB	Austral Gold Ltd
AGLNF.OB	Agl Energy
AGLXY.OB	Agl Energy Ltd ADR
AGLY.OB	Agiliti Inc
AGMJF.OB	Algoma Cent Corp [F]
AGNMF.OB	Argonomics Ltd
AGNPF.OB	Algernon Pharmaceuticals Inc
AGOAF.OB	Abengoa S.A.
AGOL.OB	Andina Gold Corp
AGOWF.OB	Abengoa Sa
AGPIF.OB	Anglo Pacific Res Plc Ord
AGPL.OB	Apple Green Holding
AGPPF.OB	Anglo Plati Ord Shs
AGPYF.OB	Agile Property Holdings Ltd
AGPYY.OB	Agile Group Holdings Limited
AGRDF.OB	Auriga Gold Crp Ord
AGRIP.OB	Agribank Fcb Non Cum Pfd Fxd/Fltg Ser A
AGRPY.OB	Absa Group Ltd New A
AGRS.OB	Agristar Inc
AGRUF.OB	Af Gruppen ASA
AGSO.OB	Agrisolar Solutions
AGSVF.OB	Argentum Silver Corp
AGTEF.OB	Agtech Holdings Ltd
AGTK.OB	Agritek Holdings Inc
AGTT.OB	Angstrom Technologies Inc
AGTX.OB	Agentix Corp
AGUNF.OB	Arctic Glacier TR UT
AGXKF.OB	Anglo Asian Mng Plc Ord
AGYP.OB	Allied Energy Corp
AGYTF.OB	Allergy Therapeutics Plc
AGZNF.OB	Aegean Airlines
AHAD.OB	Alphacom Holdings Inc
AHAG.OB	Alpha Techs Grp Inc
AHAHF.OB	Design Milk CO Ltd
AHCHF.OB	Anhui Conch Cement C
AHCHY.OB	Anhui Conch Cem ADR
AHELF.OB	American Helium Inc
AHEXY.OB	Adecco Sa ADR
AHFCF.OB	Flow Capital
AHFD.OB	Active Health Foods
AHFI.OB	Absolute Health & Fitness
AHGIF.OB	Alternate Health Corp
AHII.OB	American Heritage International Inc
AHIX.OB	Aluf Holdings Inc
AHIXD.OB	Aluf Holdings Inc
AHKSF.OB	Asahi Kaisai Corp
AHKSY.OB	Asahi Kaisai Cp ADR
AHNMF.OB	Archon Minerals Ltd
AHNR.OB	Athena Silver Corp
AHODF.OB	Koninklijke Ahold NV
AHOTF.OB	American Hotel
AHROQ.OB	Atheronova Inc
AIABF.OB	Airasia Group Berhad
AIAGY.OB	Aurubis Ag
AIBEF.OB	Air Berlin Plc
AIBGY.OB	Aib Group Plc ADR
AIBRF.OB	Aib Group Plc
AICAF.OB	Air China Ltd
AIDA.OB	Aida Pharmaceuticals
AIFLY.OB	Aiful Corp [Japan] ADR
AIFS.OB	Agent Info Software
AIKO.OB	Alternative Investment Corp
AILIH.OB	Ameren Illinois CO Pfd 4.08%
AILIM.OB	Ameren Illinois Company
AILIO.OB	Ameren Illinois Company
AILIP.OB	Ameren Illinois 4.20 Pfd
AILLI.OB	Ameren Illinois Company
AILLL.OB	Central Illinois Public Service Company
AILLP.OB	Ameren Ill CO
AILQF.OB	Airlq Inc
AIMFF.OB	Aimia Inc
AIMH.OB	Aimrite Holdings Cor
AINSF.OB	Ainsworth Game Tech
AIOSF.OB	Atresmedia Corporacion DE Medios DE Comunicacion
AIPUY.OB	Airports of Thailand Public CO Ltd ADR
AIQUF.OB	L'Air Liquide Ord EU
AIQUY.OB	L'Air Liquide ADR
AIRO.OB	Airspan Networks Inc
AIRRF.OB	Aurion Res Ltd
AIRYY.OB	Air China Ltd ADR
AISSF.OB	Aisoftware Spa
AITA.OB	Wunong Asia Pacific CO Ltd
AITUF.OB	Anritsu Corp
AITUY.OB	Anritsu Corp
AITX.OB	Artificial Intelligence Tech Solutions Inc
AIVAF.OB	Aviva Plc
AIVN.OB	American International Ventures Inc
AIVTF.OB	Aurora Investment Trust Plc
AIXN.OB	Aixin Life International Inc
AIXXF.OB	Aixtron Se
AJIA.OB	Ajia Innogroup Holdings Ltd
AJINY.OB	Ajinomoto CO Inc ADR
AJMPF.OB	Ashmore Group Plc
AJOY.OB	Ayujoy Herbals Ltd
AJXGF.OB	Agjunction Inc
AKAAF.OB	Aker ASA A Shs
AKABY.OB	Alk Abello As
AKAOQ.OB	Achaogen Inc
AKBTY.OB	Akbank Turk Ano ADR
AKRFF.OB	Ackroo Inc
AKRRF.OB	Aker Philadelphia Sh
AKRTF.OB	Aker Solutions Holding ASA
AKTAF.OB	Akita Drilling Ltd
AKVA.OB	Arkanova Energy Corp
AKZOF.OB	Akzo Nobel NV
AKZOY.OB	Akzo Nobel NV ADR #
ALAN.OB	Alanco Technologies Inc
ALBBY.OB	Alibaba Health Information Technology Ltd
ALBHF.OB	Alibaba Health Information Technology Ltd
ALBKF.OB	Alpha Bank Grd2000
ALBKY.OB	The Alpha Bank A.E
ALBY.OB	Community Cap Bcshs
ALDA.OB	Atlantica Inc
ALDS.OB	Applife Digital Solutions Inc
ALDVF.OB	Kiplin Metals Inc
ALEAF.OB	Aleafia Health Inc
ALEQP.OB	Alta Equipment Group Inc
ALFFF.OB	Alfa S.A.B. DE C.V.
ALFVF.OB	Alfa-Laval Ab
ALFVY.OB	Alfa-Laval Ab ADR
ALGGF.OB	Alliance Global Group Inc
ALGGY.OB	Alliance Global
ALGLF.OB	Alma Gold Inc
ALGWF.OB	Alliance Growers Corp
ALID.OB	Allied Corp
ALIF.OB	Artificial Life Inc
ALIZF.OB	Allianz Ag
ALIZY.OB	Allianz
ALKEF.OB	Alkane Exploration N
ALKHF.OB	Alaska Hydro Corp Ord
ALKM.OB	Alkame Holdings Inc
ALKN.OB	Alkane Inc
ALLIF.OB	Alpha Lithium Corp
ALLM.OB	Alliance Bioenergy Plus Inc
ALLVF.OB	Altice N.V.
ALLWF.OB	Allied Minds Ltd
ALLXF.OB	Caldas Gold Corp
ALMC.OB	Alimco Financial Corp
ALME.OB	Alamo Energy Corp
ALMFF.OB	Altium FX Ltd
ALMMF.OB	Aluminum Corp of China Ltd
ALMTF.OB	Almonty Industries
ALMY.OB	Alchemy Creative
ALNPY.OB	All Nippon Airways C
ALOD.OB	Allied Resources Inc
ALPE.OB	Alpha-En Corp
ALPIB.OB	Alpine Banks Colorado
ALPMF.OB	Astellas Pharma Inc
ALPMY.OB	Astellas Pharma Inc
ALPP.OB	Alpine 4 Technologies Ltd
ALPVN.OB	Alabama Pwr 4.60 Pd
ALRGF.OB	Antler Gold Inc
ALRT.OB	Alr Technologies Inc
ALSI.OB	Atlas Resources Intl Inc
ALSMY.OB	Alstom S.A.
ALSRF.OB	Alstria Office Ag
ALSSF.OB	Alsea S.A.
ALST.OB	Allstar Health Brands Inc
ALTAF.OB	Altura Mining
ALTCY.OB	Altice Europe N V
ALTD.OB	Altitude International Inc
ALTGF.OB	Altagas Ltd Fxdfr Prf Perpetual USD 25 Ser C
ALTMW.OB	Altus Midstream Company WT
ALTPF.OB	Altiplano Metals Inc
ALTSF.OB	Alturas Minerals Corp
ALTUF.OB	Altus Strategies Plc
ALTX.OB	Altex Industries Inc
ALVLF.OB	Alto Ventures Ltd
ALVOF.OB	Alvopetro Energy
ALVRQ.OB	Alvarion Ltd
ALVVF.OB	Altice Europe N.V. Cl B
ALXEF.OB	Alx Uranium Corp
ALXXF.OB	Avante Logixx Inc
ALYE.OB	Aly Energy Services Inc [De]
ALYI.OB	Alternet Systems Inc
AMADF.OB	Amadeus IT Holding S
AMADY.OB	Amadeus IT Hlds S.A.
AMAR.OB	Amarillo Biosciences
AMAZ.OB	Amazing Energy Oil & Gas CO
AMBBY.OB	Ambu A/S ADR
AMBD.OB	American Mobile Dental Corp
AMBFF.OB	Ambu A/S
AMBG.OB	Ambg Inc
AMBK.OB	American Bank Inc
AMBKP.OB	American Capital Trust I
AMBS.OB	Amarantus Bioscience Holdings Inc
AMBZ.OB	American Business Bank
AMCCF.OB	Amcor Plc Cdi
AMCF.OB	Andatee China Marine Fuel Services
AMCT.OB	American Education Center Inc
AMCY.OB	Acs Global Inc
AMDDW.OB	Sintx Technologies Inc WT Exp 05/11/2023
AMDLY.OB	Amada Holdings CO Ltd ADR
AMEFF.OB	Appreciated Media Holdings Inc
AMEN.OB	Amen Properties Inc
AMEUF.OB	Admedus Ltd
AMFC.OB	A M B Financial Cp
AMFL.OB	Nanoscience Tech Inc
AMGDF.OB	Aston Martin Lagonda Global Holdings Plc
AMGXF.OB	Anges Mg Inc
AMGY.OB	American Metal & Tec
AMHD.OB	Amelot Holdings Inc
AMHG.OB	Amergent Hospitality Group Inc
AMHPF.OB	Amazon Mining Hld
AMHV.OB	American Hemp Ventures Inc
AMIGF.OB	Admiral Group Plc
AMIGY.OB	Admiral Group Plc
AMIH.OB	American Intl Hlds Corp
AMIN.OB	American Intl Ind
AMIQF.OB	Ashanti Sankofa Inc
AMKAF.OB	A.P. Moeller Maers A
AMKBF.OB	A.P. Moeller Maers B
AMKBY.OB	A.P. Moeller-Maersk A/S
AMLH.OB	American Leisure Hld
AMLM.OB	American Lithium Min
