Symbol	Description
DFIHY.OB	Dairy Farm International Holdings Ltd
DFILF.OB	Dairy Farm International Holdings Ltd
DFKCY.OB	Daifuku CO Ltd ADR
DFLYF.OB	Draganfly Inc
DFMTF.OB	Defense Metals Corp
DFODQ.OB	Dean Foods Company
DFRYF.OB	Dufry Ag Basel
DFTC.OB	Defentect Group Inc
DFTS.OB	Defense Technology Sys
DGCRF.OB	Diagnocure Inc
DGDCF.OB	Dynasty Gold Corp
DGDM.OB	Digital Development Partners Inc
DGEAF.OB	Diageo Plc New Ord
DGEN.OB	Deltagen Inc
DGGXF.OB	Digitalx Ltd
DGIF.OB	Digital Info Securit
DGJI.OB	Dragon Jade Internat
DGLDF.OB	VS -3X Gold ETN
DGLT.OB	Digiliti Money Group Inc
DGMA.OB	Degama Software Sltns Inc
DGMDF.OB	Digital Domain Hldgs Ltd
DGMLF.OB	DE Grey Mining Ltd
DGMS.OB	Digimedical Solutions
DGNG.OB	Diguang Intl Dev CO Ltd
DGNOF.OB	Diagnos Inc
DGOCF.OB	Diversified Gas & Oil Plc
DGPIF.OB	Data Communications Management Corp
DGRLY.OB	Delek Group ADR
DGTHF.OB	Dgtl Holdings Inc
DGTW.OB	Digitaltown Inc
DGWPF.OB	Draegerwerk Ag & CO Kgaa
DGWR.OB	Deep Green Waste & Recycling Inc
DHCC.OB	Diamondhead Casino Corp
DHHXF.OB	Desarrolladora Homex Sab DE Cv
DIAAF.OB	Diamant Art Corp
DIALF.OB	Dialight Plc
DIDAY.OB	Distribuidora Intern
DIEN.OB	Diversified Energy Hlds
DIFTY.OB	Daito Trust Construc
DIGAF.OB	Digatrader Financial Corp
DIGBF.OB	Digi.com Bhd
DIGI.OB	Digital Marketing Group Plc
DIGP.OB	Digipath
DIGTF.OB	Thruvision Group Plc
DIIBF.OB	Dorel Inds Cl B
DIISF.OB	Direct Line Insurance Group Plc
DIISY.OB	Direct Line Insurance Group Plc
DIMC.OB	Dimeco Inc
DION.OB	Dionicsinc
DIPGF.OB	Datang International Power Generation Co. Ltd
DIPGY.OB	Datang International Power Generation Co.Ltd
DIRV.OB	Direct View Holdings Inc
DISPF.OB	Disco Corp
DITTF.OB	Daito Trust Construction CO Ltd
DIZTF.OB	Dignitana Ab
DJIFF.OB	Dajin Resources Corp
DKAM.OB	Drinks Americas Hld
DKGH.OB	Dkg Capital Inc
DKGR.OB	Universal Apparel & Textile Company
DKILF.OB	Daikin Inds Ltd
DKILY.OB	Daikin Inds Ltd ADR
DKLRF.OB	Decklar Res Inc
DKMR.OB	Duke Mountain Res Inc
DKSC.OB	Dakshidin Corporatio
DKTS.OB	Top Shelf Brands Holdings Corp
DLAD.OB	Dealeradvance Inc
DLAKF.OB	Deutsche Lufthansa A
DLAKY.OB	Deutsche Lufthansa S
DLCR.OB	Kibush Capital Corp
DLGCF.OB	Datalogic Spa
DLGEF.OB	Digital Garage Inc Tokyo
DLGI.OB	Datalogic International Inc
DLGNF.OB	Dialog Semicon Ord
DLII.OB	Dixie Lee Intl Inc
DLKGF.OB	Delek Group Ltd
DLLFF.OB	Dali Foods Group CO Ltd
DLMAF.OB	Dollarama Inc
DLNDY.OB	D& L Industries Inc
DLOC.OB	Digital Locations Inc
DLPTF.OB	Dalian Port Pda CO Ltd
DLPX.OB	Delphax Tech Inc
DLRWF.OB	Delta Drone
DLRYF.OB	Carlyle Commodities Corp
DLTA.OB	Delta Oil & Gas Inc
DLTI.OB	Dlt Resolution Inc
DLUEY.OB	DE LA Rue
DLVHF.OB	Delivery Hero Ag
DLYT.OB	Dais Corp
DMAN.OB	Demand Brands Inc
DMCD.OB	Detwiler Fenton Grp
DMDD.OB	Diamond Discov Intl
DMEHF.OB	Desert Mountain Energy Corp
DMFG.OB	Decker Manufacturing Corp
DMGGF.OB	Dmg Blockchain Solutions Inc
DMIFF.OB	Diamcor Mining Inc
DMKBA.OB	Denmark Bancshares I
DMLRY.OB	Daimler Ag ADR
DMNKF.OB	Dni Metals Inc
DMNXF.OB	Sayona Mining Ltd Ord Shs
DMPLF.OB	Del Monte Pacific Ltd
DMPWW.OB	Delmar Pharmaceuticals Inc WT [16/08/202
DMPZF.OB	Domino's Pizza Group Plc
DMSI.OB	Dermisonics Inc
DMTKW.OB	Dermtech Inc WT
DMTRF.OB	3-D Matrix Ltd
DMZPY.OB	Domino's Pizza Enterprises Ltd ADR
DNACF.OB	Dena CO Ltd Tokyo
DNAG.OB	Dnaprint Genomics
DNAX.OB	Dna Brands Inc
DNAXD.OB	Dna Brands Inc
DNBHF.OB	Dnb Nor ASA Ord Shs
DNCVF.OB	Defiance Silver Corp
DNDDF.OB	Dundee Sustainable Technologies Inc
DNDEF.OB	Dundee Corp
DNDPF.OB	Dundee Corp
DNDT.OB	Dnd Technologies Inc
DNFGF.OB	Dongfeng Motor Grp
DNFGY.OB	Dongfeng Mtr Gro ADR
DNGDF.OB	Dynacor Gold Mines Inc
DNGFF.OB	Dong Fang Electric Mach Co.
DNHBY.OB	Dnb Nor ASA
DNIF.OB	Chartwell Dividend & Income Fund
DNIYY.OB	Danieli Spa
DNKEY.OB	Danske Bank A/S
DNKLY.OB	Danakali Ltd ADR
DNNGY.OB	Orsted ADR
DNPCF.OB	Dai Nippon Printing CO Ltd
DNPLY.OB	Dai Nippon Prtg
DNPUF.OB	Dai Nippon Pharm Ord
DNRRW.OB	Denbury
DNRWW.OB	Denbury Inc
DNSKF.OB	Danske Bank A/S
DNTUF.OB	Dentsu Inc
DNTUY.OB	Dentsu Inc ADR
DNZOF.OB	Denso Corp Ltd Ord
DNZOY.OB	Denso Corp Ltd ADR
DOCRF.OB	Cloudmd Software & Services Inc
DODXF.OB	DB Ag Elements Dogs of The Dow TR Index
DOFSQ.OB	Diamond Offshore Drilling
DOGEF.OB	Dong Energy A/S
DOLHF.OB	Dolphin Capital Investors Ltd
DOLLF.OB	Dolly Varden Silver
DOMR.OB	Dominion Resources Black Warrior Trust
DOMWF.OB	Dominion Wtr Resvs Corp
DONFF.OB	Donner Metals Ltd
DOTDF.OB	Dotdigital Group Plc
DPAT.OB	Dental Patient Care Amer
DPBE.OB	Deep Blue Marine Inc
DPBSF.OB	Dampskibsselskabet Norden A/S
DPDW.OB	Deep Down Inc
DPER.OB	Deep Earth Resources Inc
DPFD.OB	Deep Field Techs Inc A
DPLS.OB	Darkpulse Inc
DPMLF.OB	Dundee Precious Metl
DPSGY.OB	Deutsche Post Ag ADR
DPSI.OB	Decisionpoint Systems Inc
DPSM.OB	3D Pioneer Systems
DPSTF.OB	Deutsche Post Ag
DPUKY.OB	Dominos Pizza UK & I
DPWW.OB	Diego Pellicer Worldwide Inc
DPXCF.OB	Delphx Capital Markets Inc
DPZUF.OB	Domino's Pizza Australia
DQJCY.OB	Don Quijote CO Ltd
DQWS.OB	Dswiss Inc
DRCMF.OB	Dore Copper Mining Corp
DREM.OB	Dream Homes & Development Corp
DRETF.OB	Dundee Real Est TR
DREUF.OB	Dundee Real Estate
DRGV.OB	Dragon Capital Group Corp
DRIFF.OB	Xiana Mining Inc Ord
DRKOF.OB	Newcastle Energy Corp
DRNG.OB	Drone Guarder Inc
DRNK.OB	Noho Inc
DROP.OB	Fuse Science Inc
DRRKF.OB	Dormakaba Holding Ag
DRRSF.OB	D' Arianne Resources
DRSHF.OB	Droneshield Ltd
DRSV.OB	Debt Resolve Inc
DRTGF.OB	Dart Group Plc
DRUNF.OB	Dream Unlimited Corp
DRVD.OB	Driven Deliveries Inc
DRWKF.OB	Dragerwerk Ag Prd Shs Non
DRWN.OB	A Clean Slate Inc
DSCR.OB	Discovery Minerals Ltd
DSCSY.OB	Disco Corp
DSCVF.OB	Discovery-Corp. Enterprises Inc
DSDVF.OB	Dsv A/S Ord
DSDVY.OB	Dsv A/S ADR
DSECF.OB	Daiwa Securities Group Inc
DSEEY.OB	Daiwa Securities ADR
DSFGY.OB	Dah Sing Financial Group ADR Repstg 3 Shs
DSGT.OB	Dsg Global Inc
DSITF.OB	Dixons Carphone
DSKIF.OB	Daiseki Co. Ltd
DSKYF.OB	Daiichi Sankyo CO Ltd
DSLVF.OB	VS -3X Silver ETN
DSNKY.OB	Daiichi Sankyo CO Ltd Ads
DSNY.OB	Destiny Media Technologies Inc
DSOL.OB	Drug Free Solution Inc
DSOX.OB	Triton Emission Solutions Inc
DSRLF.OB	Diasorin S.R.L.
DSTZF.OB	Distell Group Holdings Ltd
DSUS.OB	Drone Services USA Inc
DSVMF.OB	Discovery Metals Corp
DTARF.OB	Delta Resources Ltd
DTCWY.OB	Deutsche Wohnen Ag
DTEGF.OB	Deutsche Telekom Ag
DTEGY.OB	Deutsche Tele Ag Ads
DTEMF.OB	Ditem Explorations I
DTGI.OB	Digerati Technologies
DTHR.OB	Dthera Sciences
DTII.OB	Defense Technologies International Corp
DTMXF.OB	Datametrex Ai Ltd
DTNOF.OB	Det Norske Oljelskap
DTNOY.OB	Dno ASA
DTPKF.OB	Directa Plus Plc
DTRC.OB	Dakota Territory Resource Corp
DTRK.OB	Datatrak Intl Inc
DTRL.OB	Detroit Legal News CO
DTRO.OB	Deltron Inc
DTSL.OB	Delivery Technology Sltns
DTSRF.OB	Ether Capital Corp
DTST.OB	Data Storage Corp
DTTVY.OB	Dish TV India Ltd Gdr
DTXMF.OB	Deltex Medical Group Plc
DUAVF.OB	Dassault Aviation
DUBRF.OB	Dubber Corp Ltd
DUERF.OB	Duerr A G
DUFRY.OB	Dufry Ag
DUROF.OB	Duro Felguera Sa
DURYY.OB	Duerr Ag ADR
DUSCF.OB	Deutsche Euroshop Ag
DUSXF.OB	Dustin Group Ab
DUSYF.OB	Duesenberg Technologies Inc
DUTV.OB	Digital Uts Ventures
DUUO.OB	Duo World Inc
DUVNF.OB	Duran Venture Inc
DVAR.OB	Dovarri Inc
DVAXW.OB	Dynavax Technologies Corp
DVCR.OB	Diversicare Healthca
DVDCF.OB	Davide Campari Spa
DVDDF.OB	Dividend 15 Split Corp II Cl A
DVDR.OB	Divide Drives Inc
DVFI.OB	Diversified Oil & Gas Hldgs
DVLP.OB	Golden Developing Solutions Inc
DVLY.OB	Deer Valley Corp
DVNHF.OB	Dvn Holdings Ltd
DVRNF.OB	Deveron Uas Corp
DVRRF.OB	Dlv Res Ltd
DVSPF.OB	Dividend 15 Split
DVVDF.OB	Dividend Select 15 Corp
DWAHF.OB	Daiwa House Ind Ord
DWAHY.OB	Daiwa House Ind Ltd
DWHHF.OB	Deutsche Wohnen
DWIS.OB	Dinewise Inc
DWNX.OB	Delhi Bank Corp
DWOG.OB	Deep Well Oil & Gas
DXAED.OB	Prostar Hldgs Inc
DXBRF.OB	Bellrock Brands Inc
DXIEF.OB	Dxi Capital Corp
DXLG.OB	Destination XL Group
DXMEF.OB	DB Xtrackers MSCI Europe Ucits ETF
DXSPF.OB	Dexus Property Gr
DYFSF.OB	Dynamic Fuel Sys
DYLLF.OB	Deep Yellow Ltd
DYMDF.OB	Diamyd Med Ab
DYNA.OB	Dynastar Holdings Inc
DYNDF.OB	Dye & Durham Ltd
DYNE.OB	Dyntek Inc
DYNR.OB	Dynaresource Inc
DYSL.OB	Dynasil Cp America
DYYXF.OB	DB Commodity Double Long ETN
EAATF.OB	Earthworks Indus Inc
EACC.OB	Eautoclaims Inc
EACO.OB	Eaco Corp
EACTF.OB	Earth Alive Clean Technologies Inc
EADSF.OB	European Aeronautic
EADSY.OB	European Aeronautic
EAHGF.OB	Eco Animal Health Group Plc
EAIN.OB	Enabling Asia Inc
EAPH.OB	Easton Pharmaceuticals Inc
EARI.OB	Entertainment Arts Research Inc
EATBF.OB	Eat Beyond Global Hldgs Inc
EATOF.OB	Evolve Automobile Innovation Index Fd
EATR.OB	Eastern Asteria Inc
EAUI.OB	Eau Technologies Inc
EAWD.OB	Eurosport Active Wo
EAXR.OB	Ealixir Inc
EBBGF.OB	Enbridge Inc Fxdfr Prf Perpetual USD 25 Ser
EBBNF.OB	Enbridge Inc
EBCOY.OB	Ebara Corp Ltd ADR
EBGEF.OB	Enbridge
EBKDY.OB	Erste Group Bk ADR
EBKOF.OB	Erste Group Bank Ag
EBML.OB	Ebullion Inc
EBODF.OB	Renewable Energy Trade Board Corp
EBRPF.OB	Ebro Foods Sa
EBRPY.OB	Ebro Foods Sa ADR
EBSH.OB	Empire Bancshares Inc
EBYH.OB	E-Buy Home Inc
ECAOF.OB	Eco Atlantic
ECCE.OB	Eagle Ford Oil & Gas
ECCI.OB	Ecoloclean Industries Inc
ECDD.OB	Ecrid Inc
ECDP.OB	Eco Depot Inc
ECEZ.OB	Ecosciences Inc
ECGI.OB	Ecgi Holdings Inc
ECGP.OB	Envit Capital Group Inc
ECGR.OB	Bellatora Inc
ECGS.OB	Falcon Technologies Inc
ECIA.OB	Encision Inc
ECIFF.OB	Electricite DE Franc
ECIFY.OB	Electricite DE Franc
ECMH.OB	Encompass Holdings
ECMT.OB	Ecomat Inc
ECNCF.OB	Ecn Capital
ECOP.OB	Eco-Shift Power Corp
ECORF.OB	Elcora Resources Corp
ECOS.OB	Ecolocap Solutions
ECOX.OB	Eco Innovation Group Inc
ECPL.OB	Ecoplus Inc
ECPN.OB	El Capitan Prec Mtls
ECRD.OB	Ecard Inc
ECRFF.OB	Cartier Resources
ECRO.OB	Ecc Cap. Corp
ECRTF.OB	Atex Resources Inc
ECSL.OB	Ecare Solutions Inc
ECSNF.OB	Ecosynthetix Inc
ECTE.OB	Echo Therapeutics
ECTM.OB	Eca Marcellus Trust
ECVTF.OB	Economic Invst TR Ltd
ECXRF.OB	Epigenomics Ag
EDEYF.OB	Edenenergyltd
EDMCQ.OB	Education Management Corp
EDNMF.OB	Edenred Sa
EDNMY.OB	Edenred
EDPFY.OB	Energias DE Port S.A.
EDRVF.OB	Edp Renovaveis Sa
EDSFF.OB	Exceed Company Ltd
EDTXF.OB	Spectral Diagnostics
EDVMF.OB	Endeavour Mining Corp
EDVR.OB	Endeavor Bk
EDXC.OB	Endexx Corp
EDYYF.OB	Enerdynamic Hybrid Tech
EEENF.OB	88 Energy Ltd
EEGI.OB	Eline Entertainment
EEMMF.OB	E3 Metals Corp
EENC.OB	Emergent Energy Corp
EENEF.OB	Electrocomponenets Plc
EESE.OB	Energy & Environmental Services Inc
EESH.OB	Eestech Inc
EESI.OB	Encompass Energy Services
EESO.OB	Enzyme Envirnmntl Sltns
EEVVD.OB	Eve and CO Incorporated
EEVVF.OB	Eve and CO Incorporated
EEYMF.OB	Firefinch Ltd
EEYUF.OB	Essential Energy Ser
EFBI.OB	Eagle Financial Bancorp Inc
EFFDF.OB	ETFS Russell 2000 US Small Cap Go Ucits ETF
EFGSF.OB	Effiage Sa
EFGSY.OB	Eiffage Sa ADR
EFIN.OB	Eastern Michigan Financial Corp
EFIR.OB	Egpi Firecreek Inc
EFLI.OB	Cell Tech International Inc
EFLN.OB	Efuel Efn Corp
EFLS.OB	Exercise For Life Sys Inc
EFLVF.OB	Electrovaya Inc
EFMSF.OB	ETF Metal Secs [Gold]
EFRGF.OB	Pasofino Gold Ltd
EFRMF.OB	East Africa Metals I
EFRTF.OB	Nexus REIT TR Unit
EFSG.OB	Enterprise Finl Svcs Gp A
EFSH.OB	1847 Holdings Llc
EFSI.OB	Eagle Fincl Svcs Inc
EFTI.OB	Earthfirst Techs Inc
EGBB.OB	Earthblock Technologies Inc
EGDD.OB	Eastern Goldfields Inc
EGDFF.OB	Energold Drilling CO
EGDW.OB	Edgewater Bancorp
EGFEF.OB	E F G Eurobank S.A.
EGFEY.OB	E F G Eurobank Ergas
EGFHF.OB	Efh Holdings Inc
EGHSF.OB	Enghouse Sys Ltd
EGIEY.OB	Engie Brasil Energia S.A.
EGIL.OB	Edgetech Intl Inc
EGINF.OB	Eurogas International Inc
EGKLF.OB	Elringklinger Ag
EGKPF.OB	Eagle Bulk Shipping
EGLPF.OB	Eclipse Gold Mng Corp
EGMCF.OB	Emgold Mining Corp
EGMMF.OB	Eagle Mtn Mng Ltd
EGOC.OB	Energy 1 Corp
EGPLF.OB	Eagle Plains Res Ltd
EGRAF.OB	Energy Res of Austrl
EGRN.OB	Evergreen-Agra Global Investments Inc
EGRNF.OB	China Evergrande Group
EGRNY.OB	China Evergrande Group ADR
EGTK.OB	Energtek Inc
EGTYF.OB	Eguana Technologies Inc
EGXP.OB	Eagle Exploration CO
EGYF.OB	Energy Finders Inc
EHMEF.OB	Easyhome Ltd
EHOS.OB	Ehouse Global Inc
EHVVF.OB	Ehave Inc
EHYD.OB	Ehydrogen Solutions Inc
EIFZF.OB	Exchange Income Corp
EIHC.OB	Environmental Infrst
EIHDF.OB	888 Holdings Plc
EINF.OB	Enterprise Informatics Inc
EIPAF.OB	Eni Spa Roma
EIPC.OB	Enable IPC Corp
EJPRF.OB	East Japan Railway CO
EJPRY.OB	East Japan Railway C
EJTTF.OB	Easyjet Plc
EKCS.OB	Electronic Control Security Inc
EKGGF.OB	Cardiocom Solutions Inc
EKIVF.OB	Enka Insaat Ve Sanayi As
EKNL.OB	Eko International Cp
EKTAF.OB	Elekta B Shs
EKTAY.OB	Elekta B Shs ADR
EKWX.OB	Ekwan-X Inc
ELALF.OB	El AL Ltd Ord
ELAMF.OB	Elamex S.A. DE C.V.
ELBSF.OB	Engagement Labs
ELCI.OB	Eastern Light Capital Inc
ELCPF.OB	Edp Energias DE Portugal S.A.
ELCR.OB	Electric Car Company
ELEAF.OB	El En Spa
ELECF.OB	Electric Royalties Ltd
ELED.OB	Energie Holdings Inc
ELEEF.OB	Element Financial
ELEMF.OB	Elemental Royalties Corp
ELEZF.OB	Endesa Sa Madrid
ELEZY.OB	Endesa S.A. ADR
ELFIF.OB	E L Finl Corp
ELGL.OB	Element Global Inc
ELIAF.OB	Elia System Operator Sa/Nv
ELIO.OB	Elio Motors Inc
ELIXF.OB	Elixxer Ltd
ELKEF.OB	Elkem ASA
ELKMF.OB	Gold Road Resources
ELLH.OB	Elah Holdings Inc
ELLRY.OB	Elringklinger Ag
ELLXF.OB	Elixinol Global Ltd
ELMA.OB	Elmer Bancorp Inc
ELMFF.OB	Elmo Software Ltd
ELMUF.OB	Elisa Communications Corp
ELMUY.OB	Elisa Communications Corp
ELNX.OB	Elinx Corp
ELOKY.OB	Enel Russia Pjsc
ELPVY.OB	Companhia Paranaense DE Energia
ELRA.OB	Elray Resources Inc
ELRE.OB	Yinfu Gold
ELRFF.OB	Eastern Platinum Ltd
ELRNF.OB	Elron Electronics ##
ELROF.OB	Elior Group
ELRRF.OB	Eloro Resources Ltd
ELST.OB	Electronic Sys Technology Inc
ELTLF.OB	Elementos Ltd
ELTP.OB	Elite Pharma Inc
ELTZ.OB	Elite Group Inc
ELUXF.OB	Electrolux A B Cl B
ELUXY.OB	A B Electrlx S ADR
ELVAF.OB	Evolva Holding
ELVG.OB	Elvictor Group Inc
ELWSF.OB	Electreon Wireless Ltd
ELXMF.OB	Ellex Medical Lasers Ltd
ELYGF.OB	Ely Gold & Minerals
EMBA.OB	Emamba Intl Corp
EMBI.OB	Emerald Bioscience Inc
EMBR.OB	Embarr Downs Inc
EMBT.OB	Ember Therapeutics Inc
EMBVF.OB	Arca Contineintal S.A.
EMBYF.OB	Nexera Energy Inc
EMDF.OB	E Med Future Inc
EMED.OB	Electromedical Technologies Inc
EMEXF.OB	Emerald Plantation
EMFGF.OB	Emefcy Group Ltd
EMGCQ.OB	Emergent Capital Inc
EMGE.OB	Emergent Health Corp
EMHI.OB	East Morgan Holdings
EMHLF.OB	European Metals Holdings Ltd
EMHTF.OB	Emerald Health Therapeutics Inc
EMITF.OB	Elbit Imaging Ord
EMLAF.OB	Empire Ltd Cl A
EMLL.OB	El Maniel Intl Inc
EMMA.OB	Emmaus Life Sciences Inc
EMMAW.OB	Emmaus Life Sciences Inc WT
EMMD.OB	Emedia Group Inc
EMMLF.OB	Okyo Pharma Ltd
EMMS.OB	Emmis Communications Corp
EMNSF.OB	Elementis 1998 Plc
EMOR.OB	Emerald Organic Prods Inc
EMOTF.OB	Emerita Resources Corp
EMPM.OB	Empire Post Media IN
EMPO.OB	Empowered Products Inc
EMPR.OB	Empire Petroleum
EMPS.OB	Emp Solutions Inc
EMPYF.OB	Empress Rty Corp
EMQU.OB	EM Quantum Technologies Inc
EMRAF.OB	Emera Inc
EMRH.OB	Emerging Holdings Inc
EMRN.OB	Emarine Global Inc
EMRRF.OB	Evrim Resources Corp
EMSQF.OB	Ishares IV Plc
EMYB.OB	Embassy Bancorp Inc
EMYSF.OB	Easy Technologies Inc
ENAB.OB	Enable Holdings Inc
ENAKF.OB	E On Aktiengesellsch
ENBBF.OB	Enbridge Inc Cum Red Pref Shs Ser J
ENBFF.OB	Enbridge Inc Fxdfr Prf Perpetual CAD 25 Ser
ENBP.OB	Enb Financial Corp
ENCB.OB	Encore Brands Inc
ENCC.OB	Encompass Compliance Corp
ENCR.OB	Ener Core Inc
ENCS.OB	Encore Energy Systems Inc
ENCTF.OB	Encanto Potash Corp
ENCUF.OB	Encore Energy Corp
ENCW.OB	Encore Wireless Inc
ENDGF.OB	Endurance Gold Corp
ENDO.OB	Endocan Corp
ENDRF.OB	Endor Ag
ENDTF.OB	Enervest Div TR Unit
ENDV.OB	Endonovo Therapeutics Inc
ENGA.OB	Engage Mobility Inc
ENGGF.OB	Enagas Sa
ENGGY.OB	Enagas Sa ADR
ENGH.OB	Energy Hbr Corp
ENGIY.OB	Gdf Suez ADR
ENGMF.OB	Enthusiast Gaming Holdings Inc
ENGQF.OB	Engie S.A.
ENGT.OB	Energy & Technology CO RP
ENGY.OB	Rio Vista Energy Partners LP
ENHD.OB	Energroup Holdings Corp
ENHT.OB	Enherent Corp
ENKS.OB	Enerkon Solar International Inc
ENLAY.OB	Enel Societa Per Azi
ENMHF.OB	Enm Holdings Ltd
ENMI.OB	Energy Management International Inc
ENPRF.OB	Current Water Technologies Inc
ENQUF.OB	Enquest Plc London
ENRFF.OB	Enerflex Ltd
ENRT.OB	Enertopia Corporatio
ENTBF.OB	Entheon Biomedical Corp
ENTEF.OB	Ese Entertainment Inc
ENTI.OB	Encounter Technologi
ENTOF.OB	Entra ASA
ENVS.OB	Enova Systems Inc
ENZC.OB	Enzolytics Inc
ENZH.OB	Enzymes of Amer Hld Corp
ENZN.OB	Enzon Pharma Inc
EOFBF.OB	Ecofibre Ltd
EOGSF.OB	Emerald Oil & Gas NL
EONGY.OB	Eon Ag Ads
EOPT.OB	Eos Petro Inc
EORBF.OB	Exploration Orbite V
EOSC.OB	Electro-Optical Systems Corp
EOSGF.OB	Eos Imaging
EOSI.OB	Eos Intl Inc
EOSS.OB	Eos Inc
EOVBF.OB	Evolable Asia Corp
EOXFF.OB	Euromax Res Ltd
EPAZ.OB	Epazz Inc
EPEO.OB	E'Prime Aerospace Corp
EPGC.OB	Ecom Products Group
EPGG.OB	Empire Global Gaming
EPGNF.OB	Epigenomics Ag Berli
EPGNY.OB	Epigenomics Ag
EPGRQ.OB	Environmental Pwr Corp
EPLYF.OB	Eps Hldgs
EPOKF.OB	Epiroc Aktiebolag
EPOKY.OB	Epiroc Aktiebolag ADR
EPOR.OB	Epic Corp
EPORP.OB	Epic Corp
EPRJF.OB	Emperor Watch & Jewellery Ltd
EPRSQ.OB	Epirus Biopharm Inc
EPTI.OB	Environmental Packaging Technologies Holdings IN
EPWCF.OB	Empower Clinics Inc
EPWDF.OB	Electric Power Development CO Ltd [Japan]
EPXY.OB	Epoxy Inc
EPYFF.OB	E-Play Digital Inc
EQFN.OB	Equitable Fincl
EQGPF.OB	Equitable Group Inc
EQHIL.OB	Equitable Holdings Inc
EQLB.OB	Eq Labs Inc
EQMEF.OB	Equity Metals Corp
EQTE.OB	Eqm Techs & Energy Inc
EQTL.OB	Equitech Intl Corp
EQTRF.OB	Altamira Gold Corp
EQTXF.OB	Lake Winn Resources Corp
EQUEY.OB	Equatorial Ener ADR
EQUI.OB	Equifin Inc
EQUR.OB	E-Qure Corp
EQXWF.OB	Equinox Gold Corp WT
ERAO.OB	Energy Revenue America Inc
ERBB.OB	American Green Inc
ERDCF.OB	Erdene Resource Dev
EREPF.OB	Empire Cap Corp Cda
ERFB.OB	Erf Wireless Inc
ERFSF.OB	Eurofins Scientific
ERGO.OB	Total Nutraceutical
ERGTF.OB	Antilles Gold Ltd
ERHE.OB	Erhc Energy Inc
ERILF.OB	Empire Industries Ltd
ERINQ.OB	Erin Energy Corp
ERIXF.OB	Ericsson Lm Tel Cl B
ERKH.OB	Eureka Homestead Bancorp Inc
ERLFF.OB	Entree Resources Ltd
ERMAY.OB	Eramet Sa ADR
EROMF.OB	Euro Managanese Inc
EROX.OB	Human Pheromone Sciences Inc
ERPNF.OB	European Metals Holdings Ltd
ERRAF.OB	Emera Inc Cum Pfd 5 Yr Rate Reset Ser C
ERRFY.OB	Eurofins Scientific S.E. ADR
ERRPF.OB	Ero Copper Corp
ERTWF.OB	Eurotech S.P.A. Amaro Ud
ERUC.OB	Er Urgent Care Hlds
ERVFF.OB	Erin Ventures Inc
ESALF.OB	Eisai CO Ltd
ESALY.OB	Eisai CO Ltd ADR
ESBS.OB	Es Bancshares Inc
ESFS.OB	Eco-Safe Systems USA
ESGI.OB	Ensurge Inc
ESHDF.OB	Esprit Holdings Ltd
ESIFF.OB	ESG Global Impact Capital Inc
ESINQ.OB	ITT Educational Services Inc
ESIV.OB	Essential Innovations Technology Corp
ESKYF.OB	Eskay Mining Corp
ESLOF.OB	Essilor Intl
ESLOY.OB	Essilor Intl ADR
ESMC.OB	Escalon Med Cp
ESNC.OB	Ensync Inc
ESNR.OB	Electronic Senor Tec
ESOA.OB	Energy Services Acquisition Corp
ESOCF.OB	Enel-Societa Per Azi
ESPGY.OB	Esprit Hlds Ltd ADR
ESPHQ.OB	Exosphere Technolog
ESPIQ.OB	Esp Resources Inc
ESSE.OB	Earth Search Science
ESSI.OB	Eco Science Solutions Inc
ESTRF.OB	Estre Ambiental Inc
ESTWF.OB	Estre Ambiental Inc WT
ESVIF.OB	Ensign Energy Svcs
ESWW.OB	Envnmtl Sols Wrldwde
ESYJY.OB	Easy Jet Plc
ESYL.OB	Easylink Solutions C
ETAH.OB	Eternity Hlthcre
ETAR.OB	Entertainment Arts Inc
ETBI.OB	Eastgate Biotech Corp
ETCC.OB	Environmmtl Tectonic
ETCG.OB	Ethereum Classic Investment Trust
ETCK.OB	Enerteck Corp
ETCMY.OB	Eutelsat Communications S.A.
ETEC.OB	Emtec Inc
ETEK.OB	Eco-Tek Group Inc
ETER.OB	Enterra Corp
ETFLF.OB	Eastfield Res Ltd
ETFM.OB	2050 Motors Inc
ETHE.OB	Grayscale Ethereum Trust [Eth]
ETHOF.OB	Ethos Capital
ETIHY.OB	Earthasia International Holdings Limited
ETII.OB	Envirotechnologies International Inc
ETKR.OB	Evolution Technology Resources Inc
ETNI.OB	Entest Group Inc
ETOLF.OB	Enterprise Group Inc
ETPHF.OB	Agriminco Corp
ETRUF.OB	Etruscus Resources Corp
ETRXF.OB	Etrion Corp
ETST.OB	Earth Science Tech Inc
ETTYF.OB	Essity Aktiebolag [Publ]
EUBG.OB	Entreprerneur Universe Bright Group
EUENF.OB	Eurasia Energy Ltd
EUGFF.OB	Dundee Energy Ltd
EUOT.OB	Eurotech Ltd
EURI.OB	Agrieuro Corp
EURPF.OB	Plant & CO Brands Ltd
EUSP.OB	Eurosite Power
EUTLF.OB	Eutelsat Communicati
EUUNF.OB	European Uranium Resources Ltd
EUXTF.OB	Euronext NV
EVAHF.OB	Egf Theramed Health Corp
EVARF.OB	Lombard Medical Inc
EVBC.OB	Evolution Blockchain Group Inc
EVCC.OB	Environmental Contrl
EVCI.OB	Evci Career Colleges
EVGEF.OB	Evergreen Gaming Corp
EVGGF.OB	Evolution Gaming Group Ab
